,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
Al1Sr2Ho0.4Ca0.6Cu2O7,11.677792040253365,4.898424861334153,1.7211158768809127,-3.1054214429024896,-1.7326178128159795,-0.3710042858026297,1.6261430162120645,-2.9474084168463075,-1.0603441772561086,-0.5004203830660828,4.138272360483495,-0.41476371764795594,0.7763480794414689,1.4614519100384045,-1.1846053967959354,-1.7743304288908794,-0.39120251097679853,-0.4661626098000624,-1.1089017417920515,1.588899962938204,-1.518955411419359,1.4600715462836753,-2.428045852724976
Al1Sr2Ho0.5Ca0.5Cu2O7.05,11.633296654362699,4.616344021321928,1.8187711910730162,-2.866876377734405,-1.5745404342060625,-0.3843338665975997,1.389342693507875,-2.6449710519176968,-1.4204302395311463,0.1005660394956571,3.9350226140902635,-0.6420513303090996,0.8482644576300647,1.298879073206643,-1.4017706547596016,-1.5780243093293953,-0.3721913579347797,-0.6036046356874476,-0.8507339130480542,1.5023577896655886,-1.5267537228991448,1.4755440332231626,-2.3377622614366587
Ba1.2Sr0.8Yb1Cu3O6.61,-1.9069484068159437,-1.65021140020107,1.4409802451793774,-1.1954767304534275,-2.80930732604651,2.2203560773266817,3.489944393039194,-1.4634698725109225,0.9710792427816368,0.16813207843569136,-2.1312811143516046,1.010153687954246,-0.4866005939253812,0.6785484582130391,0.18451939476083265,0.5383016172892772,-0.5709279612698247,-0.33667076839947224,-0.750901372007231,0.0566165828697719,0.13505592489310103,0.5799064288438052,0.5751886274182771
Ba1.4Sr0.6Yb1Cu3O6.66,-2.103780971304432,-1.9273632668833762,1.0531934388280286,-1.3056578300106354,-2.1122022576248,1.8515251504582038,3.0221851274794482,-0.968933391941846,0.8260984281116902,0.28702698974460533,-1.7281708516845304,0.784043456388885,-0.5276792480937601,0.5035473421753895,0.3252749260980198,0.6656090053780382,-0.46678947391587744,-0.4333182464575705,-0.645502559176888,0.07188006913404726,0.22119865047609874,0.6445899156542072,0.40206175146517936
Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.52,1.2064521226544627,-2.390037363345836,-1.9676139431484334,-3.6159764935453866,-0.907893471789106,3.053407624308708,5.065960890784383,-2.2987868752759137,2.5485654920587155,-0.6130456953166049,-0.3993157598442439,1.5281094099911359,-0.5095615200815048,-0.5652173143681959,0.4620594823827931,-0.1772848437744508,-0.7714567407175541,-0.01136102215442809,-0.2560761314868333,0.1212096890144014,0.10246435599344392,0.2342106474453723,0.21817236010993682
Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.53,1.2427672585626288,-2.369827189829975,-1.971715124783869,-3.6229236442762436,-0.9225126942486088,3.005069944285212,5.013506474702884,-2.2233930955569208,2.5184437672460933,-0.601125748124891,-0.3996878411095668,1.4980152497360777,-0.4987317397565471,-0.5450888857278009,0.4351140856096841,-0.16428082153698095,-0.7889356425251108,-0.026469320919914486,-0.24643096015358984,0.1308399352441583,0.09693568838977301,0.24762103408054667,0.2258136298062165
Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.63,1.5857565070482942,-2.1633008074410243,-2.0065596980981737,-3.7038484294901743,-1.037489001014332,2.513439452756071,4.514586139064196,-1.4208348570066303,2.2351344633750894,-0.5510891086825401,-0.35471760929289914,1.2837051620273017,-0.39922672708958823,-0.5892617037846364,0.3131721668506563,-0.12589072972674384,-0.9202875340695835,-0.07943860842270234,-0.17802016044795677,0.17515215942621187,0.10284996482075492,0.3214354140535482,0.23711597913340837
Ba1.6Sr0.4Yb0.6Ca0.4Cu3O6.61,1.624984622580063,-2.024160537150651,-1.981086262178101,-3.7894319969392405,-1.1705507638347845,2.592473705937929,4.724406980505476,-1.601388627020014,2.3592188963308374,-0.8247424863707116,-0.34926607418824035,1.3661634034063062,-0.40974612397019267,-0.44583558996996026,0.30568649975681533,-0.19796121534236621,-0.9585552811856085,-0.04780768575251965,-0.2529823381347884,0.18295214167438223,0.012235829537790472,0.2942343423808007,0.22464934302847167
Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6.51,0.9524737038899715,-2.793363843439059,-2.0519158075149884,-3.388462374394253,-0.5995592486664573,3.101980199876302,4.836410937237282,-2.417200353876171,2.4352312074889784,0.03886069254122611,-0.49894788389779504,1.306055602505835,-0.5345711698187814,-0.3936144024714009,0.3171533692895582,0.10865711326051992,-0.6766897947529814,-0.23334863627969152,-0.10622525257015471,0.15879932928729493,0.1839988511977755,0.3848398985020639,0.37402933408211575
Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6.68,1.5205578712019354,-2.4304268384762127,-2.103076656065559,-3.5415209224307773,-0.7680259462414194,2.2534955583669465,4.01681692214129,-0.9920278907429765,1.9728519396212312,0.041252957577070225,-0.36599540440894945,1.0364319506049027,-0.3747449811676033,-0.7293342849700307,0.2655362904377745,0.07382788666074755,-0.8584702136110326,-0.21773785714854266,-0.022158818934701865,0.1783149645538565,0.25657546496672556,0.44291295048484963,0.3180734355093755
