,material,critical_temp
0,Al1Sr2Ho0.4Ca0.6Cu2O7,24.0
1,Al1Sr2Ho0.5Ca0.5Cu2O7.05,18.0
2,Ba1.2Sr0.8Yb1Cu3O6.61,36.7
3,Ba1.4Sr0.6Yb1Cu3O6.66,43.1
4,Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.52,79.0
5,Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.53,78.0
6,Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.63,77.0
7,Ba1.6Sr0.4Yb0.6Ca0.4Cu3O6.61,76.0
8,Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6.51,66.0
9,Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6.68,74.0
10,Ba1.6Sr0.4Yb0.85Ca0.15Cu3O6.6,61.0
11,Ba1.6Sr0.4Yb0.85Ca0.15Cu3O6.83,76.0
12,Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.56,30.0
13,Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.58,55.0
14,Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.76,80.0
15,Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.8,80.0
16,Ba1.6Sr0.4Yb1Cu3O6.53,34.0
17,Ba1.6Sr0.4Yb1Cu3O6.64,47.0
18,Ba1.6Sr0.4Yb1Cu3O6.69,48.9
19,Ba1.6Sr0.4Yb1Cu3O6.75,60.0
20,Ba1.6Sr0.4Yb1Cu3O6.8,81.0
21,Ba1.6Sr0.4Yb1Cu3O6.96,82.0
22,Ba1.8Sr0.2Yb1Cu3O6.61,56.7
23,Ba1Sr1Y1Cu3O7,82.7
24,Ba2Yb1Cu3O6.66,65.3
25,Bi0.066Mo0.264Cu2.67Sr2Y1O7.32,31.0
26,Bi0.132Mo0.198Cu2.67Sr2Y1O7.2,29.0
27,Bi0.1485Mo0.1815Cu2.67Sr2Y1O7.21,20.6
28,Bi0.2Pb0.4S0.4Sr2Ca0.7Nd0.3Cu2O6.99,78.0
29,Bi0.33Hg0.67Sr2Y0.5Ca0.5Cu2O7,92.0
30,Bi0.33Hg0.67Sr2Y1Cu2O7,74.0
31,Bi0.5Pb0.25S0.25Sr2Ca0.7Nd0.3Cu2O6.97,75.0
32,Bi0.6Pb0.2S0.2Sr2Ca0.7Nd0.3Cu2O6.95,80.0
33,Bi0.8Pb0.1S0.1Sr2Ca0.7Nd0.3Cu2O6.95,75.0
34,Bi1.6Sr0.4Yb1Cu3O6.817,55.0
35,Bi1.6Sr0.4Yb1Cu3O6.999,82.0
36,Bi2Sr2Cu2O7,22.0
37,C0.47Sr2Ca0.35Y0.65Cu2.48O6.96,40.0
