,material
0,Al1Sr2Ho0.4Ca0.6Cu2O7
1,Al1Sr2Ho0.5Ca0.5Cu2O7.05
2,Ba1.2Sr0.8Yb1Cu3O6.61
3,Ba1.4Sr0.6Yb1Cu3O6.66
4,Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.52
5,Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.53
6,Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.63
7,Ba1.6Sr0.4Yb0.6Ca0.4Cu3O6.61
8,Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6.51
9,Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6.68
10,Ba1.6Sr0.4Yb0.85Ca0.15Cu3O6.6
11,Ba1.6Sr0.4Yb0.85Ca0.15Cu3O6.83
12,Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.56
13,Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.58
14,Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.76
15,Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.8
16,Ba1.6Sr0.4Yb1Cu3O6.53
17,Ba1.6Sr0.4Yb1Cu3O6.64
18,Ba1.6Sr0.4Yb1Cu3O6.69
19,Ba1.6Sr0.4Yb1Cu3O6.75
20,Ba1.6Sr0.4Yb1Cu3O6.8
21,Ba1.6Sr0.4Yb1Cu3O6.96
22,Ba1.8Sr0.2Yb1Cu3O6.61
23,Ba1Sr1Y1Cu3O7
24,Ba2Yb1Cu3O6.66
25,Bi0.066Mo0.264Cu2.67Sr2Y1O7.32
26,Bi0.132Mo0.198Cu2.67Sr2Y1O7.2
27,Bi0.1485Mo0.1815Cu2.67Sr2Y1O7.21
28,Bi0.2Pb0.4S0.4Sr2Ca0.7Nd0.3Cu2O6.99
29,Bi0.33Hg0.67Sr2Y0.5Ca0.5Cu2O7
30,Bi0.33Hg0.67Sr2Y1Cu2O7
31,Bi0.5Pb0.25S0.25Sr2Ca0.7Nd0.3Cu2O6.97
32,Bi0.6Pb0.2S0.2Sr2Ca0.7Nd0.3Cu2O6.95
33,Bi0.8Pb0.1S0.1Sr2Ca0.7Nd0.3Cu2O6.95
34,Bi1.6Sr0.4Yb1Cu3O6.817
35,Bi1.6Sr0.4Yb1Cu3O6.999
36,Bi2Sr2Cu2O7
37,C0.47Sr2Ca0.35Y0.65Cu2.48O6.96
38,C0.48Sr2Ca0.4Y0.6Cu2.46O6.97
39,C0.51Sr2Ca0.5Y0.5Cu2.42O6.92
40,C0.53Sr1.99Ca0.56Y0.45Cu2.39O6.94
41,C0.54Sr2Ca0.6Y0.4Cu2.38O6.89
42,C0.55Sr2.03Ca0.62Y0.35Cu2.35O6.79
43,C0.57Sr2Ca0.7Y0.3Cu2.33O6.78
44,C0.5Sr2.01Ca0.44Y0.55Cu2.44O6.94
45,C1Ca3Cu2O7.1
46,Ca0.1Ba1.65La1.25Cu3O6.98
47,Ca0.1Ba1.65La1.25Cu3O7.01
48,Ca0.1Ba1.65La1.25Cu3O7.02
49,Ca0.1Ba1.65La1.25Cu3O7.03
50,Ca0.1Ba1.65La1.25Cu3O7.06
51,Ca0.1Ba1.65La1.25Cu3O7.08
52,Ca0.1La0.9Ba1.65La0.35Cu3O7.15
53,Ca0.1La1.15Ba1.75Cu3O7.148
54,Ca0.1La1.25Ba1.65Cu3O6.985
55,Ca0.1La1.25Ba1.65Cu3O7.06
56,Ca0.2Ba1.55La1.25Cu3O6.98
57,Ca0.2Ba1.55La1.25Cu3O6.99
58,Ca0.2Ba1.55La1.25Cu3O7.01
59,Ca0.2Ba1.55La1.25Cu3O7.03
60,Ca0.2Ba1.55La1.25Cu3O7.05
61,Ca0.2Ba1.55La1.25Cu3O7.07
62,Ca0.2Ba1.55La1.25Cu3O7.11
63,Ca0.2Ba1.55La1.25Cu3O7.159
64,Ca0.2La0.8Ba1.55La0.45Cu3O7.16
65,Ca0.3Ba1.45La1.25Cu3O6.96
66,Ca0.3Ba1.45La1.25Cu3O7
67,Ca0.3Ba1.45La1.25Cu3O7.05
68,Ca0.3Ba1.45La1.25Cu3O7.11
69,Ca0.3Ba1.45La1.25Cu3O7.12
70,Ca0.3Ba1.45La1.25Cu3O7.172
71,Ca0.3La0.7Ba1.45La0.55Cu3O7.16
72,Ca0.3Nd0.7Ba1La1Cu3O7.24
73,Ca0.4Ba1.15La1.45Cu3O7.12
74,Ca0.4Ba1.15La1.45Cu3O7.21
75,Ca0.4Ba1.15La1.45Cu3O7.23
76,Ca0.4Ba1.25La1.25Cu3O6.98
77,Ca0.4Ba1.25La1.25Cu3O7.05
78,Ca0.4Ba1.25La1.25Cu3O7.14
79,Ca0.4Ba1.25La1.35Cu3O7.04
80,Ca0.4Ba1.25La1.35Cu3O7.11
81,Ca0.4Ba1.25La1.35Cu3O7.16
82,Ca0.4Ba1.25La1.35Cu3O7.19
83,Ca0.4Ba1.35La1.25Cu3O6.9
84,Ca0.4Ba1.35La1.25Cu3O6.92
85,Ca0.4Ba1.35La1.25Cu3O6.95
86,Ca0.4Ba1.35La1.25Cu3O7.08
87,Ca0.4Ba1.35La1.25Cu3O7.15
88,Ca0.4La0.6Ba1.35La0.65Cu3O7.15
89,Ca0.4La1.25Ba1.35Cu3O6.99
90,Ca0.4La1.25Ba1.35Cu3O7.055
91,Ca0.4La1.25Ba1.35Cu3O7.135
92,Ca0.4Nd0.6Ba1La1Cu3O7.19
93,Ca0.5Nd0.5Ba1La1Cu3O7.17
94,Ca0.6Nd0.4Ba1La1Cu3O7.1
95,Ca0.7Nd0.3Ba1La1Cu3O7.04
96,Ca0.85Ce0.15Ba1La1Cu3O7.07
97,Ca0.8Nd0.2Ba1La1Cu3O6.99
98,Ca0.95Ce0.05Ba1La1Cu3O6.91
99,Ca0.9Ce0.1Ba1La1Cu3O7.02
100,Ca0.9Nd0.1Ba1La1Cu3O6.87
101,Ca1Ba1Dy1Cu3O7
102,Ca1Ba1Er1Cu3O7
103,Ca1Ba1Eu1Cu3O7
104,Ca1Ba1Gd1Cu3O7
105,Ca1Ba1Ho1Cu3O7
106,Ca1Ba1La0.2Nd0.8Cu3O7
107,Ca1Ba1La0.2Sm0.8Cu3O7
108,Ca1Ba1La0.4Eu0.6Cu3O7
109,Ca1Ba1La0.4Nd0.6Cu3O7
110,Ca1Ba1La0.4Sm0.6Cu3O7
111,Ca1Ba1La0.6Eu0.4Cu3O7
112,Ca1Ba1La0.6Nd0.4Cu3O7
113,Ca1Ba1La0.6Sm0.4Cu3O7
114,Ca1Ba1La0.8Eu0.2Cu3O7
115,Ca1Ba1La0.8Nd0.2Cu3O7
116,Ca1Ba1La0.8Sm0.2Cu3O7
117,Ca1Ba1La1Cu3O6.85
118,Ca1Ba1La1Cu3O6.97
119,Ca1Ba1La1Cu3O7
120,Ca1Ba1Nd1Cu3O7
121,Ca1Ba1Sm1Cu3O7
122,Ca1Ba1Tm1Cu3O7
123,Ca1La1Ba1Cu2.76Fe0.24O7
124,Ca1La1Ba1Cu2.85Zn0.045O7
125,Ca1La1Ba1Cu2.88Fe0.12O7
126,Ca1La1Ba1Cu2.88Zn0.12O7
